,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA
92489,4.0,167000,66,37,772,0,19100
92490,4.125,417000,55,49,794,0,33340
92491,4.125,75000,66,27,688,0,0
92492,4.25,370000,79,30,787,0,12220
92493,4.875,280000,80,31,684,0,14460
92494,4.125,335000,58,45,772,0,16980
92495,4.0,83000,77,34,673,0,45460
92496,3.75,62000,50,46,776,1,45460
92497,4.75,110000,32,44,683,0,31080
92498,4.0,618000,55,31,784,0,31100
92499,4.375,78000,62,28,696,0,0
92500,3.875,405000,78,15,795,0,19820
92501,4.375,151000,78,30,693,0,32820
92502,4.375,230000,70,19,722,0,41180
92503,4.375,66000,80,43,764,0,41180
92504,3.875,195000,33,27,780,0,37100
92505,4.0,279000,91,43,786,0,31540
92506,4.0,375000,78,32,761,1,44300
92507,4.125,417000,76,35,755,0,14460
92508,3.875,214000,48,41,707,0,17900
92509,4.375,186000,80,16,734,0,39580
92510,4.5,100000,76,41,729,1,11700
92511,4.5,270000,72,45,669,0,35620
92512,3.875,148000,91,38,720,0,38540
92513,3.875,85000,27,39,786,0,10580
92514,4.0,70000,67,29,679,0,46060
92515,4.375,175000,79,36,680,0,16700
92516,4.0,272000,47,44,724,0,47900
92517,4.75,142000,79,16,715,0,16980
92518,3.99,417000,49,17,809,0,47900
92519,3.875,536000,60,37,726,0,41860
92520,3.875,158000,80,34,717,0,28140
92521,4.5,70000,62,26,810,0,23420
92522,4.375,211000,70,32,660,0,39300
92523,4.875,200000,80,34,719,0,0
92524,4.375,56000,80,18,779,0,17460
92525,4.5,236000,80,35,680,0,48300
92526,4.25,285000,60,40,690,0,35620
92527,4.375,364000,86,34,796,0,41860
92528,3.99,111000,80,33,776,1,25540
92529,4.125,168000,65,46,725,0,16980
92530,3.875,248000,80,38,728,0,24420
92532,4.375,260000,73,28,783,0,31080
92533,4.375,140000,55,29,648,0,40060
92534,3.99,260000,60,44,793,0,0
92535,4.625,104000,80,30,731,1,37980
92536,4.25,65000,36,33,638,0,12100
92537,3.99,213000,78,44,711,0,14460
92538,3.875,185000,53,29,763,0,47900
92539,4.25,300000,75,45,757,0,19100
